Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
PMDPHT,1.1541229550579868,1.4687083870836244,1.0115532315907962,1.294971546209242,1.267811362965367,1.5959315869577586,0.9120811701734486,1.061412792326376,1.0702133237861673,1.1947627039241877,1.107525154934929,0.8418275613265058,1.4448176931625445,1.2282064541675588,1.1592550173106846,1.126417206777455,1,1.189942701161245,1.0044355188350187,0.863955554,0.9450346076527376,1.2025539093693625,0.9660390874118132,1.121135460125008,0.9745148418536866,0.9225135566710004,0.7884096500393242,1.1357810094683285,1.083384954465094,1.6512528223357392
3HAD140,1.1633752477026913,0.8248110674353819,0.8296870265439811,0.8862508812412586,0.5613393734642482,0.4774738834362019,0.7985876258133414,0.635441831,0.5051458431828155,0.8612187459567817,0.5818785581519766,0.829037816,0.4052468792662991,0.6474106953147756,0.8316259368547969,1.1181722567003107,1,0.9391281055551768,1.5182601486748215,1.385290635021034,1.3501498969892445,1.2742293078246103,1.0830980566714632,0.3994672303723912,0.8160046744450882,0.7662321530260162,0.7476130568696148,1.2958863741482325,0.932494762,1.1337873679307664
DAPE,0.724914708,0.6036230073895902,0.5533282634442089,0.7352960608392646,0.6766968029655658,0.7056349096696606,0.7807288212344389,0.7231603640718707,0.6543162379962976,0.7322798805568704,0.8154306083280664,0.6660613672089747,0.7038232797682278,0.8692605977426207,0.966791829,0.9172905883682948,1,1.368952648947899,0.3622185050972767,0.4456603311175821,0.4536726206944718,0.6377244411846911,0.6782644497631514,0.5198840923038286,0.6268656180798307,0.6749620635383823,0.6660879441834365,1.0858565692906492,0.8791627693352472,0.849215737
BCAROHX2,0.4739786540265168,0.5179513063972836,0.4654042324312311,0.853071346,1.2720472418380235,1.2904777196643005,1.012478481921295,1.1641689848015933,1.161713425639934,0.9571363389246084,0.9913566765336512,0.8198228972107003,1.2865846471183284,1.1262534957612258,1.0679703740410105,1.0789807106981082,1,1.0601566782589318,0.4579734346318965,0.453390274,0.4838543476518279,0.7297636306586817,0.6497129587020948,0.992039988,0.788155787,0.9756401803765876,0.9948570783067904,0.994570209,0.7456060439792839,0.7889501081084824
HPPK,0.6431644951776085,0.7188031637341135,0.8603712015387079,0.9893761846610036,0.741509839,0.6361637330757075,0.939754221,0.7792018617585724,0.5677281376133554,0.9882776173035264,0.9468254266906524,0.7550231970094088,1.0846631377256604,0.8867229914861305,1.132347031126869,0.8816045509189716,1,0.926851922,0.57299851,0.6313751315764842,0.6056216494863086,0.8689421798675566,0.6782239445236478,0.8209581445174925,0.91942749,0.8990568550150325,1.0111766442970234,1.1796851491279157,1.0824045161116158,1.566553265450792
PANTS,1.0617384299312047,1.0068444632689035,0.9463811106081312,0.8323872332917258,0.8269600988110547,0.845206817,0.9310667823421142,0.8709728121674275,0.7483046682469622,1.0830293139378513,1.1087122128545022,0.914593817,0.7949093445958036,0.928615861,1.0300011553231985,0.9943124302153904,1,1.0576095675515431,0.8795319616062083,0.8765382240087373,0.8800611308589497,0.8202462926869452,0.8180311868348854,0.6636253568961977,0.9409635897404726,0.9071080299241144,0.938409001,1.1018693116807023,1.103589561249366,1.0754912270859784
AHCi,0.6291797309431274,0.6318938281969674,0.5268285810409447,0.931567529,1.2050017630845398,1.035399206435189,0.8323324846002265,0.9167482762304172,0.8679033290640701,0.8472254322275381,0.8301055892353278,0.6010737206193463,0.8632988753028903,0.894732405,0.794286403,1.0523972523427831,1,1.114228613480626,0.3286410827050107,0.3835850483068054,0.3329279449319541,0.9715244710773522,0.9291067429254812,0.9623992738373892,0.8311031609023105,0.971977554,0.9970899238141268,0.986629225,0.8642852369695404,0.799179697
ALAD_L,0.8351729550685217,0.7799347986346159,0.8268123476670374,0.9020624217132194,0.9220446275496132,1.025304379382216,0.7632528782555792,0.7639510254205083,0.9381522324367432,0.7608838024391079,0.8494498053241221,0.7947920180758927,0.7839261627392349,0.7579487628941283,0.7224841062786607,0.9262602472018454,1,1.0033026774118854,0.6685526925820824,0.6203656513422815,0.6111385789466296,0.6527767605725348,0.5912620831723933,0.6191754348235695,0.5105417614117169,0.5373321960465658,0.5951715799867036,0.7095452342551102,0.7222914690662599,0.8199324357513242
GTPCII,1.083996019898281,1.0249194679759075,1.1223275129552153,0.9850789794028436,0.9094965728401784,0.776550706,0.8321399673386929,0.828142463,0.6893612645165312,0.7769484276849222,0.716678653,0.7478378481260436,0.8520284337537133,0.855768926,0.7906695506326652,0.9475849669133714,1,0.8574991049390575,0.9966033751180547,0.978525052,0.9603114954193782,1.1934052150504628,1.1315943150601566,1.1678150742390143,0.9000266689394452,0.8892612660000294,0.9390069166547528,1.0412022173543942,1.0369186142418447,1.0219741463969574
GLCBRAN3,1.9902518494619068,2.138845255264466,1.950070356722908,1.8962711345369057,2.4175235567309747,2.7582987277448154,1.5765783857714928,1.8094986745843256,1.965513939012818,1.0612048003934555,1.1283631736950537,1.2538762665993388,1.2059741993558597,1.151755438698615,1.1453446959257727,1.236646567,1,1.1739376036859694,0.9549243754353745,0.9869618629301704,0.9564580733063228,1.0965048445959953,1.081407720800082,1.361342445581443,1.0625609870928738,1.3258202281433853,1.4173879251542512,1.2482792366432411,1.074693161578562,1.281049451343692
