,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
GLUTAMATE-N-ACETYLTRANSFERASE-RXN,0.5092557533293428,0.5060789604935256,0.5285758391979368,0.783715831595903,1.0,0.9678943000671713,1.185223537940176,1.3995859476770456,1.3436137427666188,1.503923999400787,1.8855858730866684,1.5504544593275347,0.7875320218999192,0.7942257245661659,0.791686831654571,1.366144190695243,1.343106016611915,1.0188509293082828,1.079540752199698,1.1142153472652012,1.1137818019896466,0.706562503645589,0.7217409002391894,0.7687937480339552
SUCBZS,0.9511700051361338,0.8818220657037412,1.1620114374047197,0.7115485977908252,1.0,1.0479954171601678,0.8863874971364469,1.4602979332059158,1.3796465416685055,0.6092518615357625,0.7351375221681238,1.1474340923157302,1.4323753790392035,1.522593734959687,1.2994152606906768,1.0299540349629506,1.157984163827411,1.5656596880004383,1.2435006159266457,1.3629350028769727,1.6401107468022922,0.7416542781345388,0.5129345175322633,0.7174115684674441
UHGADA2,0.7351706674636053,0.766849961951542,0.7794578498082714,1.2117750158696383,1.0,1.0416737841764065,1.4929714200912998,1.0659144574813126,1.0302466945387894,1.780119152831651,1.1693351838849557,1.1940312802231206,1.1834682921706017,0.779780124607847,0.7723531086784533,1.5479164260975342,1.1334099655793213,0.9809211234194913,1.0879149362207747,0.863203879479168,0.8821616577555801,3.036509700252466,1.5831223188728467,1.0953739611747242
DHNANT,1.0317620449041893,1.0527239352667614,0.9417595068282502,0.8295483271820308,1.0,0.9688112527945234,1.0254918735525662,0.9206165346525537,0.8594904415418049,0.936541961670449,0.8746313860097624,0.823218766232856,1.116159791314399,1.1846373073101986,1.1844879574740104,1.0748123634159081,0.9813174590186097,0.7687912170294999,0.8761692040017476,0.9750837614304418,1.072101998426148,1.0212799699867856,0.8232187563693555,0.9985716836676446
L-ASPARTATE-OXID-RXN,0.9096045763607968,0.8653908440475234,0.9221331157549909,0.7880148079155299,1.0,1.1062978429376613,0.986796859382655,1.060416197089979,0.9734804347360452,0.6900497661253413,0.8249741765715064,0.6596369741871176,0.34163424742024806,0.3450269559176183,0.35393468153538704,0.5179162594377844,0.5643769680291602,0.6450826455785176,0.7161679519208538,0.930431408109143,1.0965474435311025,0.4605172839543296,0.6153601145444331,0.7108717648385833
HGYDAS,0.664439293407921,0.5814156294688402,0.8690559077070521,0.647543568412857,1.0,1.9038138069310182,0.7334640653548138,0.855103291856334,1.405456067839776,0.5118865170184628,0.37818181010468427,0.5502632048820572,0.6662666977403386,0.6882613192081136,0.8008732780064798,0.7381926130604891,0.8812629581338874,2.366710535163209,1.530243723574881,2.1514837205009587,2.2551865095526513,0.7944415527130083,0.590358595754294,0.6192750802159328
GGDPR,0.4213936546726675,0.4534144390672201,0.3474510836578365,0.8705019334453954,1.0,0.8564556677945612,0.7091033782473726,0.8107520421835244,0.7313516897896963,0.7225679274035033,0.7786099721039559,0.5920508643987064,0.1563750919246091,0.18534703826163804,0.17086663379964792,0.5880012926614245,0.6101256310614431,0.6970635942535086,0.6010646413219022,0.6259678916897773,0.6029417811450888,0.5984421204684938,0.7047193158033004,0.6862207806877516
ASPDECARBOX-RXN,0.9815439780042899,0.9828019626712922,0.8937533517048741,0.9079169447257646,1.0,0.8929973877427471,0.947831984046449,0.9300209808042398,0.8232890776951667,0.9998021717688281,0.8696161130443064,0.8514407233711192,0.6477089977395734,0.7102658273174012,0.6691177921919618,0.9975835055100677,1.0130178010059503,1.1246088155623144,1.1789707536509804,1.1586279657469296,1.1031030546658995,1.469769693628284,1.2048467777683434,1.226349768054532
PREPHENATEDEHYDRAT-RXN,0.853317877481929,0.9785807359975915,0.8029857884867636,0.6601601401226231,1.0,0.9404351621299084,0.7917866966526536,0.6676412103900103,0.8069055831075204,0.8844177654568834,0.7611507313468351,0.7798587853128199,0.5415444262433544,0.5221269651702186,0.5521371264774124,0.889268713441907,0.7189612860263885,0.8713918985014881,0.6877351966901751,0.5781921192431295,0.750883009060136,0.8164796563427269,0.9039563781073628,0.8540073359715322
ASPARTATEKIN-RXN,1.0701501032956375,1.099268340888209,0.9249208026621396,1.0799277480115828,1.0,0.9166762722444778,1.2315438054163557,1.1769700001638654,0.9432885188005843,1.3381496070321992,1.2423433874239056,1.0856652868624992,0.3837967667079881,0.43099280414086283,0.40641853866644256,1.1935320981383184,1.1517544937746151,0.9124677441663348,1.4073154712698623,1.1544280288496216,1.176184323573504,1.460092378192935,1.6777800811135062,1.414624896512592
