Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
MOBDabcpp,1.0,0.7599092616961909,0.9163508750100926,0.9172437209478781,1.1358704829718131,1.354145713310257,1.2042373537469553,1.0983492955373813,0.6101686392442499,1.5513609566087996,1.0129374213277715,1.2732986830420572,1.3112888478374096,1.2430233892383082,1.3385234304038325,0.6082121386652695,0.9333403567152674,1.1358114580243206,0.7602334794055791,0.7838492872099636,1.0559483573671034,0.8776631835260721,1.5052344508653879,1.4601749700416575
NADK,1.0,0.9866115544746086,1.0400513324884033,0.871980394499312,0.724751031956446,0.7157960022443417,0.8495918958708881,0.7525876681255792,0.7559036437180386,1.0058447233074135,0.9543801870906525,1.140979686133077,1.201317227706704,1.1344843092120094,1.1424516912409681,1.1382079493821309,1.1185985033031507,0.9618687297334007,1.1707151109467375,0.9410563830510194,0.9915133748081496,1.2543021330578612,1.2344843477332672,1.2108783415118751
NADTRHD,1.0,0.9417057356570064,1.9477093491811153,1.8480650629241766,2.5527194536752873,3.1235214617062903,2.661998361584907,4.659663678871721,6.0470923551186475,4.292487458861868,6.877311966846101,8.66137319857374,11.182492662997905,14.41680670169824,12.770123380108444,6.677529058142891,8.288889706441934,9.351229674484982,5.288683060320829,8.302614159521477,9.151552430632282,0.5342297637746449,0.8896067642507396,1.293391267446265
PGM,1.0,0.9719696283806251,0.9115628292324042,0.8413877153325571,0.7028801393675631,0.6341132839590341,0.6153121840754922,0.5507107304484917,0.5694322365926907,0.7854838509118905,0.7035906054788189,0.7430999386893988,0.9187599493059568,0.9434372839682115,0.9552869200287777,0.8137148758712986,0.8172732288599339,0.743074992230239,0.7984552168847591,0.760554943704159,0.7334179795164317,1.0769463329583808,0.9806252696903611,0.9592989693483648
FE3abcpp,1.0,1.0550461884575257,0.9813311930522872,0.34069918605616417,0.33635647668573826,0.32629079437261205,0.56152342521042,0.6639062525691134,0.6123196448378828,1.0898851100602986,1.0528121610635333,1.138053349764235,0.3759293907071596,0.4188167479547075,0.3693340559226895,0.24364220681365353,0.21819695393883612,0.26741238368987386,0.5172840473081095,0.5342333565371005,0.540279099712894,0.9079081030584395,0.8944330982962748,0.916784857095242
DHNCOAT,1.0,0.9570826877120874,0.8326457471510431,1.0095055403157809,1.0932753401270994,0.746987988558299,0.6980813410062234,0.6115808578588905,0.5872873152355709,0.5679089216408161,0.753372207280492,0.7608736032317297,0.653836580926348,0.8000469048252642,0.6817479411408071,0.7663472945705738,0.7521986430907278,0.7808703776357266,0.704333958951084,0.6491251909733321,0.7589628817337551,0.9265547464906286,0.8506142602932564,0.8019312004543119
NPHBDC,1.0,0.9525033444335643,0.8544064101982063,0.9641482293656088,0.9809790534881309,1.1106135791186795,0.8621244693052994,1.0136281378519019,0.8597830824770364,0.6763818641420851,0.789301886862006,0.9599147499268276,0.7450504817451234,0.5976073987825226,0.9534936241851493,0.9399642141696422,0.8931486667704621,0.8218301830735305,0.9757007223638522,1.0434357393188864,0.948525039610757,0.9539817210570434,0.84099273294315,1.2003372579126779
HCO3E_1_cx,1.0,0.9947769309758216,0.8804811071487589,1.5898317697136481,1.694321810177624,1.6467298708143674,1.6514547350217736,1.522397377909595,1.460594871854076,1.9813052729194698,1.6885558949689226,1.5320591424305199,0.5037459363789842,0.4486972878528245,0.4704394163158903,1.0221261109195505,0.9711694825103057,1.169425571176272,1.4288198837873411,1.501492523743843,1.3518796730938494,2.1190769188561034,2.183446027599514,1.943150600857828
DESAT16a,1.0,1.0791658693605097,0.9630083651834083,0.8352351058650154,1.0488730788745113,1.000756288899751,0.9781001953506356,1.0384399924604129,0.9415069983009268,0.7964302162295287,0.6840134625989737,0.637073503874124,0.8956958305185077,0.8679502231260368,0.7955594466844307,0.8080119931065631,0.7735539034744257,0.8829164400158629,0.7688065096559925,0.9570230372268008,0.9216730557340999,0.9778879138370011,0.7943889463185612,0.7236181530289669
UAGDP,1.0,1.1958058290658757,0.9430394665717345,1.9192327855132139,2.214638781347839,2.080255155653836,1.818218423239121,2.0354373268764876,1.7844945595603503,2.3065653973535816,2.4002212812104737,1.722008193736308,0.5538811988436148,0.6229407558452784,0.5548227391624305,1.626636920548914,1.3946043160627704,1.4065367048667292,1.7076695924366816,1.6694072794009394,1.482536190193413,2.4062115039764995,2.0698677993811403,1.9442547158129084
PDS1_1,1.0,1.0695660897305472,1.0423512686618421,1.3261156527331666,1.3937261383240453,1.4534411194590222,1.298141442653032,1.444885262533846,1.2864866993668684,1.4670654809977357,1.3145959017039397,1.3481966967256485,0.6502441933607824,0.569132061845628,0.610820436676064,1.3043830647746621,1.051887876859718,1.4623636104920845,1.2577100070868614,1.377060203054542,1.3553360139650592,2.4213391855595425,1.5242071686483853,1.531627094710147
FRTT,1.0,1.0856729330091486,0.8981297794190082,0.9834936587503667,1.0418919326445386,0.9953081588153446,0.9396659765890852,1.0065373689974888,0.9541389304015072,1.2002926899531359,1.1062581326363414,0.8886257009718984,0.6163699226074308,0.6398354708962561,0.5760193148251295,0.8583516212122237,0.8619623602128134,0.7786389566820102,0.9512918409347688,1.0025979254886417,0.9586651007744558,1.3594666173100067,1.2438435777283345,1.2410347919841413
3OAS180,1.0,0.9711041308177273,0.7891355104819564,0.7625613215967184,0.8138314935723966,0.6777538608474282,1.01920140933051,0.9757505135324993,0.7498786509196249,0.9727841188519112,0.9446170215754911,0.6557369023412218,0.55448125111631,0.5758647952315982,0.525498118554976,0.7729602425988653,0.7340066672254373,0.7094099121062682,0.8865158454389332,0.8223234879088858,0.8484968838035104,0.985680798241511,0.9097752037804748,0.8252012382651891
EAR80y,1.0,1.0306416314847229,0.8463574033586797,1.8601316136508854,2.098921125633682,1.7884628300796526,1.8051361799211927,2.1032679646390355,1.664860460745392,1.5283725099250718,1.469333860908351,0.9671674189119825,0.2822227643198349,0.3891712362592879,0.3513142364949013,1.831339563459177,1.5409709635553555,1.4832082945495675,1.4751312701854555,1.562616893297243,1.4732504771054622,1.450299601889968,1.6347874829976907,1.522662543526672
EAR140y,1.0,1.0306416314847229,0.8463574033586797,1.8601316136508854,2.098921125633682,1.7884628300796526,1.8051361799211927,2.1032679646390355,1.664860460745392,1.5283725099250718,1.469333860908351,0.9671674189119825,0.2822227643198349,0.3891712362592879,0.3513142364949013,1.831339563459177,1.5409709635553555,1.4832082945495675,1.4751312701854555,1.562616893297243,1.4732504771054622,1.450299601889968,1.6347874829976907,1.522662543526672
ACGS,1.0,0.9937618911223911,1.0379378843386369,1.5389435003379588,1.9636498821315937,1.9006055282427423,2.3273640605758175,2.7482967811890657,2.638386967614061,2.9531801841582306,3.7026304774356347,3.0445497163089175,1.5464371619786321,1.5595812504302313,1.5545957536636335,2.682628879033475,2.637389971210222,2.0006665072458745,2.119840070813189,2.1879288353265256,2.187077504197284,1.3874413770022649,1.4172464336842348,1.5096417527103825
CYTBD4um,1.0,1.0010925838182838,0.9398470512320922,0.5204754666296965,0.4887232210182204,0.6089007611617042,0.552998469042747,0.551802277681335,0.6503113128351928,0.5598896684520497,0.5910070970526667,0.7437110407277792,0.9966607188086551,1.0090129131819465,0.9442215557733137,0.4148647008446224,0.4912317666848703,0.4160168713535085,0.42601318827331175,0.4891691040302537,0.4538725395657584,0.4900453473082903,0.4885410059252418,0.5902834985649374
DHPPDA,1.0,0.9476723892689075,0.9624395281618459,1.3946073400248875,0.8901292724711464,0.6736761699905294,0.8394923858554203,0.7232719722011692,0.9269869709567904,0.663651272442792,0.7958794023542668,1.1168238914864075,1.0531844815759508,1.1262600973985728,1.194835782921829,1.1743172826210562,1.2894833875726304,0.6864794526876826,1.092190632200326,0.909825065107296,0.9138014629932074,1.1007481396331906,1.1940561747819112,1.6907918025936193
DHFR,1.0,0.5884819196981497,0.7440455822129934,0.6369748061936137,0.6941430729210654,0.6705310898443353,0.6690207520604355,0.6656662397993811,0.8135581855381193,0.31660427687154424,0.38588092250702566,0.43133424214353233,0.7713463811496076,0.7968098649686257,0.7547229955414035,0.8920444699317058,0.8596555917467426,0.48935187540786085,0.8322817504570825,0.8398385219274517,0.9078921061919641,0.5299898450731864,0.45296407079508233,0.3969742826127394
BCAROHX,1.0,1.0927734867323935,0.9819096882898738,1.7998096307376552,2.6837648299808428,2.7226494457113346,2.1361267502663774,2.4561633206723767,2.450982582804123,2.0193659161517035,2.091563972579638,1.7296620644119456,0.9662321936681036,0.9565626437138053,1.0208357349880963,1.5396550550520254,1.3707641751009032,2.0930056219274515,1.662850805906079,2.0584053144342764,2.0989491190274845,2.0983438814863895,1.5730793731853816,1.6645266646635621
MPOMC1_1,1.0,1.1638641468531665,1.0321133040595805,1.3448203510046535,1.5315825601374906,1.3710225648082184,1.1324249776585003,1.2979764005888512,1.2492260274929203,1.2012730544122376,1.2012597116298394,1.0081819609772418,0.6639586227726719,0.7797048464749823,0.6585013716394721,1.094350315300904,1.0166432702690036,1.220421359894957,0.8409923989951774,1.0045878037999003,0.9647511013008822,1.2063252731220706,1.2200820796488423,1.090952704577935
