,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS06345,5145.85132,6163.748301,2048.349949,12263.19774,7461.559026,2785.105369,10380.10631,4463.778952,1625.528743,28295.67158,20182.17016,5854.615921,22095.57954,26505.10192,19741.81802,14286.9283,14924.27381,12643.15706,5486.762722,6901.181879,5921.012329,11218.55976,2691.389788,1800.574519,3872.702239,2244.253336,1388.050047,12998.94535,31541.70638,16364.79263
SYNPCC7942_RS06350,7682.721969,8526.410857,3964.920248,26046.61,23233.7579,13068.01571,20644.12766,13933.8505,7429.30801,66981.36815,34890.17774,19736.7398,40014.18652,45253.48833,36515.33778,62050.78056,65569.52632,56151.36715,11560.25823,11745.24847,9524.741418,17634.16029,4905.802626,5951.808824,10814.72283,8223.368147,8157.327766,59561.33345,55069.92424,32631.57293
SYNPCC7942_RS06355,1751.672627,2307.773231,1210.725543,1027.878025,608.1927115,1739.787941,2498.992654,753.6856255,310.1337733,12375.47199,1976.217325,1390.17191,3246.514377,4136.231379,3381.56638,65750.88907,73224.02175,70967.56683,5659.808337,3985.189536,3511.990163,1612.641315,352.1364118,1143.234814,685.8155148,493.5983506,765.8511051,43515.30048,8836.822248,2755.2356
SYNPCC7942_RS06360,404.6173479,340.6366924,441.4618307,503.3889446,598.2386573,705.8214422,487.5568437,402.5101251,433.1178558,630.3710957,547.8220511,653.1739592,543.7014754,471.6575197,462.8602927,999.6418544,1231.094581,1300.30757,579.2972346,599.9570454,611.3594043,714.6448556,835.1401453,823.096565,717.9508704,679.0657229,671.5518321,783.8425575,480.3696134,473.726279
SYNPCC7942_RS06365,91.13905608,71.03324391,90.59851003,118.5626656,104.5175691,180.5829713,106.5871022,87.5022011,94.10955878,138.7260334,100.4340427,140.4324012,82.95651377,128.1678043,142.5775009,362.3212979,454.7905203,395.098658,114.9131037,125.6893251,155.4659654,185.9099982,191.9961365,128.3803132,158.3254103,151.1215626,159.5155927,196.629447,102.2296889,136.1282411
SYNPCC7942_RS14005,11.01680898,5.650371675,5.765359729,8.03814682,4.977027099,5.159513466,8.442542749,1.166696015,9.624841239,9.988274404,8.115882238,10.88623265,8.968271758,9.228081907,3.099510889,7.819884128,6.869947437,9.471543172,10.1393915,14.24479018,14.70623997,10.23357788,12.91453833,17.06320618,7.837891598,7.850470785,15.8634291,1.337615286,12.09168363,11.97928522
SYNPCC7942_RS06370,85.12988755,74.26202772,84.8331503,52.24795433,49.77027099,66.04177237,80.20415611,75.83524095,59.88790104,116.529868,83.18779294,93.62160082,72.86720804,71.77397039,90.91898607,78.19884128,81.06537976,81.18465576,100.0419962,97.19974478,90.33833122,77.60463229,57.68493787,60.12748846,81.51407262,66.72900167,59.04720833,92.29545473,98.931957,65.34155573
SYNPCC7942_RS06375,215.3285391,215.5213196,219.9072925,350.664155,391.19433,336.400278,268.0507323,299.8408758,272.7038351,274.122642,303.3310987,243.8516114,338.5522589,316.8308122,385.3725205,325.8285053,324.261519,308.5016919,198.7320735,230.4304294,205.8873595,234.5194932,236.766536,190.1328689,282.9478867,244.3459032,259.983977,288.9249017,331.9716779,350.6663491
SYNPCC7942_RS06380,80.12224711,64.57567628,62.5953342,46.21934421,23.88973007,49.53132927,43.26803159,24.50061631,33.15223093,56.60022162,57.82566095,58.78565633,72.86720804,45.1150671,44.42632274,40.40273466,56.33356898,56.82925903,47.31716035,41.05851288,51.12169131,42.63990785,39.60458421,27.62614335,42.32461463,51.0280601,49.35289055,49.49176558,63.75615006,57.71837423
SYNPCC7942_RS06385,598.9137971,665.9366617,492.5264454,854.0530996,1203.445152,1050.476942,798.8756076,1019.692317,880.13826,785.7442531,779.1246949,612.8948984,923.7319911,806.9444957,704.6221421,998.3385404,927.442904,939.0358516,381.91708,383.7714061,396.3681819,789.6910934,715.4654234,1089.607595,677.1938341,729.1124741,714.7356113,836.0095537,630.9660368,641.4362721
