,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS02570,89.87509064,78.25608054,74.72524615,101.3311818,91.41924795,82.464732,108.6803254,108.2841066,96.86499249,95.32512596,88.68816764,84.95007281,88.50195987,110.9467074,97.51034542,111.3023461,99.16074833,129.2697114,49.2658482,50.40158023,46.36787988,100.0476241,86.73684433,63.63839957,91.81398482,84.01810893,85.50221254,117.7558341,107.9502724,110.1429769
SYNPCC7942_RS02575,123.9753069,134.1205287,115.5331931,136.7630263,145.1952762,117.5812925,150.6979977,146.3902782,129.465791,131.0066495,134.7434344,97.32551552,169.1346834,153.73333,136.394839,186.4098116,181.3787993,186.3888862,57.62284571,68.59532139,60.70351139,107.5552762,91.75671863,110.8791747,103.1481056,101.2991063,96.35274712,158.4443409,137.0508413,122.8841817
SYNPCC7942_RS02580,31.01718305,28.88749848,34.912615,50.32490008,44.90770075,35.21520254,45.04779287,51.06897492,41.14158283,31.70528339,35.59260531,28.10693767,41.71773261,47.86131504,45.26553867,54.72468294,49.77738227,58.42624974,15.83785818,15.32535854,16.94210996,37.78307502,35.30370609,30.2184793,49.36808297,35.3257958,43.05492124,48.42059057,38.83642108,41.0666931
SYNPCC7942_RS02585,18.68505003,20.32823967,15.00629943,19.46804645,26.22760674,28.70482896,12.12048239,14.41553121,17.49819219,11.92872048,11.73382593,13.10957914,14.3371019,11.2439264,11.96445956,8.647241097,10.76977664,12.28650442,14.82693106,12.45697593,12.0035192,13.87283532,12.34395318,16.70996013,11.10591697,13.27104221,13.88868427,10.77421518,12.30354938,12.42530714
SYNPCC7942_RS02590,25.59851854,23.15585196,23.73445318,15.087736,17.35927928,16.67050204,15.15060298,14.30378291,16.45663313,14.44003006,16.32957442,12.37544271,11.53436018,13.93052829,15.85290892,22.23576282,21.2768758,20.12895405,26.0145245,23.35682986,23.04675687,14.9336992,14.23669267,9.526238954,17.49562262,16.23077104,14.32270565,13.4360801,16.26208265,19.37505521
SYNPCC7942_RS02595,124.1621574,117.6133867,109.9441122,104.1540485,90.09843322,86.50905499,70.90482197,71.63066285,75.8254995,91.87207529,102.4754131,98.89866502,67.58919469,84.97622254,104.0907982,127.3615082,139.6130801,147.960883,87.41149811,88.91986106,79.97773364,67.65047342,85.17327693,57.3916855,88.08665652,100.4398302,93.48820599,106.6013525,118.5420236,134.5723943
SYNPCC7942_RS02600,98.09651265,97.43799091,86.822161,78.94292836,94.53259695,99.3325181,66.46064509,73.08339081,76.97121447,69.27028912,79.20332501,79.18185799,60.15114934,72.33924331,67.49949269,70.1661849,74.33772656,80.6465237,76.56088038,82.03574278,78.33153673,61.28529015,70.93658426,66.91792445,66.5594339,82.58598207,85.32860399,70.85630923,80.77547634,80.76449643
SYNPCC7942_RS02605,24.75769129,23.69080563,20.44225484,25.21112015,21.13303565,22.29309741,25.45301301,27.26658617,28.95534184,20.92757979,25.12994386,20.55582009,22.9609226,26.2689962,29.61203741,16.30622607,20.22616588,22.08956646,29.38428155,28.60187236,31.62069915,27.25604116,23.61809708,21.08265998,26.01523016,23.10497995,24.5656103,20.28087563,22.57433842,24.9559135
SYNPCC7942_RS02610,105.8508084,106.6086253,104.431594,108.6316992,100.4762632,115.7070941,122.4168721,122.6996378,131.3405973,129.2278052,132.7877967,133.0884474,135.7173782,120.797581,129.7146824,133.661641,144.209936,148.222298,156.4241227,124.8156206,124.493642,87.48046743,80.89403983,87.06357732,95.61738104,96.23892477,97.74161555,131.4454252,136.6228918,133.7300006
SYNPCC7942_RS02615,30.45663155,29.42245216,26.1078985,20.53878901,19.15181355,21.40531919,36.46245118,35.42421236,27.60131507,32.22847288,19.2630309,17.19976783,26.94943967,25.67197355,27.71766465,47.93042208,47.5446237,54.89714741,69.95615655,43.59941574,49.18013295,20.72764807,13.90752058,13.97702273,21.67935847,16.13529592,19.18374515,36.63233161,25.35601045,23.3764253
SYNPCC7942_RS02620,423.4966589,488.107018,438.4748819,310.9047018,346.2421465,384.4079673,533.6042371,597.6299297,588.2725566,595.8081967,381.4471245,436.2867937,522.7113318,422.990541,385.3553017,691.2851597,790.6592119,927.1082538,870.6778289,625.6352252,590.7103277,312.9548438,231.9017337,331.3881813,315.9861582,323.8516199,323.779952,500.6841171,406.3380916,364.1246788
