,Se_axen_d4_1,Se_axen_d6_3,Se_axen_d8_2
PPCDC,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
LDH_D,0.0,0.0,-0.03499178053543103
HPYRRy,0.0,0.0,0.0
ADMDC,1.2050506754555617e-06,3.845598136377089e-06,3.0228976552305378e-06
PRE3BS,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PPPGO2_1,0.0001688052911146265,0.0005386971072181746,0.00042345200006357187
BIOMASS_DNA,0.00010043923468699306,0.0003205250547537535,0.0002519541569599804
DMATT,0.0004637348534673741,0.0014798862193841221,0.0011632896688467068
DNAMTn2r,0.0,0.0,0.0
G3PD2,-0.0034498300735572853,-0.011009213447952432,-0.008653979000806493
BIOMASS_CELL_WALL,0.001093824542139171,0.0034906495688936173,0.002743884312098417
PHYTES,0.00015422650868176862,0.0004921728077056505,0.0003868807851522613
RB15BPtcx,0.0,0.0,0.0
MI3PP,0.0,0.0,0.0
MOHMT,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
GLXO3r,0.0,0.0,0.0
FBA,0.03418458751111597,-0.02878890057793171,0.05125273762561784
RZ5PP,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PROAKGOX1,0.0,0.0,0.0
ASAD,-0.008019162277385364,-0.02559101964534423,-0.020116255140936047
CYSS_2,0.0006340028150142989,0.0020232510495502933,0.0015904108117210296
LYCOPC,0.00015422650868176862,0.0004921728077056505,0.0003868807851522613
ACOTA,-0.002302118441759173,-0.020606155333338084,-0.016197817980832283
3HAD180,0.0014967379658973952,0.004776440401665178,0.003754602009492512
FTHFD,0.0,0.5673079460197229,0.6112361690056057
ALDD2y,0.0,0.0,0.0
3OAS80,0.006124172425904408,0.019543664467891856,0.015362629011012603
PSCVT,0.0053843079684623716,0.0171825841941225,0.013506661806359885
CBPS,0.005797698302206155,0.01850180929346551,0.014543661076201229
NTPP8,0.0,0.0,0.0
MEPCT,0.0018569189060796253,0.005925861899475825,0.0046581242776486675
PDX5POi,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
DHAD2,0.003984476723470249,0.012715395770740042,0.009995152560821115
DHFS,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
PGCD,0.012826188287214917,0.32487742925480845,0.3380224816353047
SPMDabcpp,0.0,0.0,0.0
NTD6,0.0,0.0,0.0
NNDMBRT,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PRATPP,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
ASNN,0.0,0.0,0.0
SERAT,0.0006340028150142989,0.0020232510495502933,0.0015904108117210296
PRAIS,0.002630232301724517,0.008393685546854327,0.006597998921986914
PRAMPC,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
AMPMS3,3.4874428515158096e-07,1.1129244606652988e-06,8.748331529404019e-07
G1PCTYT,0.0,0.0,0.0
ACBIPGT,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
SEPHCHCS,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
NMNDA,0.0,0.0,0.0
CA2abcpp,0.0,0.0,0.0
ORNTAC,0.002302118441759173,0.0,0.0
SUCBZS,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
UHGADA2,0.00013135306537707795,0.0004191783081906886,0.0003295022204652131
DHNANT,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
ASPO6,0.0,0.0,0.0
HGYDAS,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
GGDPR,0.00015453031672878252,0.0004931423301349234,0.00038764289470568936
ASP1DC,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
PPNDH,0.0025475330436732996,0.008129772900550827,0.006390545909142821
ASPK,0.008019162277385364,0.02559101964534423,0.020116255140936047
DXPS,0.001857627855729723,0.005928124323379429,0.004659902694339856
ME2,0.00817305325022892,0.02608212167990734,0.020502294226633012
3PGtcx,0.0,0.0,0.0
DDPGA,0.0,0.0,0.0
PAPSR,0.0021426936461777265,0.006837835835785894,0.005374996861820228
SADT,0.0021426936461777265,0.006837835835785894,0.005374996861820228
BIOMASS_COFACTORS,1.6372971133907088e-05,5.224997467903654e-05,4.107197901128448e-05
DPCOAK,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
NH4tpp,0.0031,0.0031,0.0031
DM_h2_c,0.0,0.0,0.0
PC11M,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
DPOR,0.0,0.0,0.0
ARGSL,0.0031988349758769095,0.010208229473137813,0.008024351958802195
HSK,0.0034865754555396923,0.01112647654348042,0.008746155646401235
MTHFD,0.006257979985990341,0.5878628095727436,0.6273936682122992
PMDPHT,4.2078535814141214e-07,1.3428243492512389e-06,1.055549860590011e-06
ARGabcpp,0.0,0.0,0.0
3HAD140,0.006123812220539462,0.01954251496844892,0.015361725427474354
ARGOXRum,0.0,0.0,0.0
DAPE,0.0032872974372146462,0.010490533847044018,0.008246262101172491
BCAROHX2,0.0001233812069454149,0.00039373824616452044,0.0003095046281218091
HPPK,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
PANTS,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
AHCi,0.00015664243000507242,0.0004998825768687769,0.0003929411799978982
G6PDH2r,0.0,0.855657959109179,0.5740479222132191
ALAD_L,-0.08081610597196619,-0.5887577108279827,-0.6357257672200568
GTPCII,4.2078535814141214e-07,1.3428243492512389e-06,1.055549860590011e-06
GLCBRAN3,0.0011780872813458637,0.003759551648664482,0.002955259353795248
DB4PS,8.415707162828243e-07,2.6856486985024777e-06,2.111099721180022e-06
DXPRIi,0.0018569189060796253,0.005925861899475825,0.0046581242776486675
FBA3,0.018480028006329363,-0.040957678848641876,0.024579788666670765
RBFSa,8.415707162828243e-07,2.6856486985024777e-06,2.111099721180022e-06
GLUTRS,0.005197602273116606,0.016586762716477462,0.013038306225814922
MPOMMM,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
METAT,0.0001596370464254634,0.0005094390972375745,0.00040045324495906084
EAR160y,0.005861106089785306,0.01870415835206754,0.014702720986543927
DHORTS,-0.0025988633263292447,-0.008293579820327697,-0.006519309117399034
PDX5PS2,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
KARI_23dhmp_1,0.003984476723470249,0.012715395770740042,0.009995152560821115
ARGDC,0.0,0.0,0.0
GAPDi_nadp,0.0,0.015584709261220242,0.130340137466601
NTD7,0.0,0.0,0.0
AIRC3,-0.0026298835574393655,-0.008392572622393662,-0.006597124088833973
UMPK,0.003337652088727161,0.0106512272999905,0.008372577916007071
ASPOb,0.0,0.0469085756802675,0.127148995267588
RBFSb_1,4.2078535814141214e-07,1.3428243492512389e-06,1.055549860590011e-06
SUCDum,3.566033112967215e-06,0.046919955724752924,0.1271579407446164
FBP,0.0,0.02878890057793171,0.0
CITCIb,0.003984476723470249,0.012715395770740042,0.009995152560821115
MNabc_1,0.0,0.0,0.0
TMPK,3.4874428515158096e-07,1.1129244606652988e-06,8.748331529404019e-07
AGPR,-0.002302118441759173,-0.020606155333338084,-0.016197817980832283
IPMD,0.0,0.0,0.0
CDPMEK,0.0018569189060796253,0.005925861899475825,0.0046581242776486675
DVOCHR_1,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
H2CO3_NAt_syn,-0.021645835457033392,0.29733053079057803,0.233721707905586
HEMEOS,3.4874428515222094e-07,1.1129244606634781e-06,8.748331529403595e-07
PMANM,-0.0019444050007176817,-0.006205050459222743,-0.004877585181441412
RPE,0.005462999031213978,0.8971271513644395,0.584085166052488
MPOMT_1,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
CPPPGO2,0.0,0.0,0.0
PC17M_1,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
UAMAS,0.0006307451716282158,0.002012855148705953,0.0015822389374970552
GLUCYS,0.0,0.0,0.0
NDHPQRum,0.0,1.9721905178051362,1.5920854917241
CYNL,0.0,0.0,0.0
