,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
H2Otcx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2Otex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2Otpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2Otu_syn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4THDPR,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4496.0,4977.0,4015.0,inf,inf,inf,4399.0,3787.0,3424.0,inf,inf,inf,2311.0,3190.0,3575.0,inf,inf,inf
H4THDPS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23733.0,25226.0,19654.0,inf,inf,inf,27112.0,22290.0,21448.0,inf,inf,inf,11252.0,19763.0,21896.0,inf,inf,inf
HBZNPT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9292.0,9624.0,8307.0,inf,inf,inf,9570.0,7222.0,7424.0,inf,inf,inf,5869.0,6108.0,6836.0,inf,inf,inf
HCO3E_1_cx,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4944.0,5396.0,4301.0,inf,inf,inf,4332.0,4125.0,3454.0,inf,inf,inf,2952.0,2410.0,1752.0,inf,inf,inf
HCO3tcx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCO3tex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMEAS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HEMEAS_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2386.0,2114.0,1834.0,inf,inf,inf,2541.0,1660.0,1758.0,inf,inf,inf,1006.0,1188.0,2312.0,inf,inf,inf
HEMEOS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4234.0,3466.0,3402.0,inf,inf,inf,4427.0,3319.0,3856.0,inf,inf,inf,2249.0,2230.0,3115.0,inf,inf,inf
HEX1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5016.0,5098.0,4579.0,inf,inf,inf,5360.0,4544.0,4329.0,inf,inf,inf,2582.0,3938.0,3952.0,inf,inf,inf
HEX7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2938.0,3301.0,2595.0,inf,inf,inf,3418.0,2890.0,2970.0,inf,inf,inf,1926.0,2880.0,3038.0,inf,inf,inf
HGYDAS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,922.0,766.0,606.0,inf,inf,inf,890.0,680.0,740.0,inf,inf,inf,486.0,524.0,528.0,inf,inf,inf
HISTDa,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22946.0,25799.0,22763.0,inf,inf,inf,29749.0,24686.0,26093.0,inf,inf,inf,15009.0,23037.0,23684.0,inf,inf,inf
HISTDb,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22946.0,25799.0,22763.0,inf,inf,inf,29749.0,24686.0,26093.0,inf,inf,inf,15009.0,23037.0,23684.0,inf,inf,inf
HISTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTRS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6846.0,7658.0,5926.0,inf,inf,inf,6662.0,6268.0,5665.0,inf,inf,inf,2988.0,5267.0,4636.0,inf,inf,inf
HMBS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11743.0,13085.0,10480.0,inf,inf,inf,10562.0,8998.0,8994.0,inf,inf,inf,7100.0,6739.0,6986.0,inf,inf,inf
HOXGfx,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,59661.0,62511.0,54756.0,inf,inf,inf,52127.0,46482.0,49066.0,inf,inf,inf,55792.0,33220.0,33706.0,inf,inf,inf
HPPK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,958.0,868.0,910.0,inf,inf,inf,1038.0,830.0,938.0,inf,inf,inf,456.0,610.0,676.0,inf,inf,inf
HPROb,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1796.0,2036.0,1524.0,inf,inf,inf,1486.0,1498.0,1088.0,inf,inf,inf,858.0,1182.0,1246.0,inf,inf,inf
HPYRRy,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2724.0,2801.0,2298.0,inf,inf,inf,2250.0,2230.0,2320.0,inf,inf,inf,1368.0,1472.0,1484.0,inf,inf,inf
HSDy,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11664.0,13179.0,10293.0,inf,inf,inf,11473.0,10988.0,11303.0,inf,inf,inf,6044.0,9021.0,8497.0,inf,inf,inf
HSDyi,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HSERTA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,6832.0,6938.0,6484.0,inf,inf,inf,7208.0,5884.0,6534.0,inf,inf,inf,3730.0,4649.0,4640.0,inf,inf,inf
HSK,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1556.0,1963.0,1240.0,inf,inf,inf,1234.0,1308.0,996.0,inf,inf,inf,570.0,919.0,944.0,inf,inf,inf
HSTPT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17080.0,17425.0,15619.0,inf,inf,inf,17314.0,14256.0,13424.0,inf,inf,inf,8566.0,11774.0,11645.0,inf,inf,inf
HTHRPDH,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7898.0,8416.0,7023.0,inf,inf,inf,9552.0,7327.0,7143.0,inf,inf,inf,4306.0,6630.0,7790.0,inf,inf,inf
Htabcpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Htcx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Htex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICDHyr,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,22592.0,24038.0,20236.0,inf,inf,inf,20438.0,19268.0,20643.0,inf,inf,inf,11023.0,13397.0,12301.0,inf,inf,inf
ICHORS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,8368.0,8945.0,7859.0,inf,inf,inf,10761.0,7859.0,9011.0,inf,inf,inf,6546.0,8136.0,9556.0,inf,inf,inf
ICLIPAS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1106.0,1274.0,923.0,inf,inf,inf,1361.0,1180.0,956.0,inf,inf,inf,562.0,1117.0,974.0,inf,inf,inf
ICLIPAabcpp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,15294.0,15400.0,12145.0,inf,inf,inf,13508.0,12423.0,11478.0,inf,inf,inf,6455.0,9497.0,9410.0,inf,inf,inf
IG3PS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2677.0,3282.0,2508.0,inf,inf,inf,3348.0,2697.0,2412.0,inf,inf,inf,1922.0,2296.0,2502.0,inf,inf,inf
IGPDH,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17104.0,18398.0,17124.0,inf,inf,inf,18036.0,14861.0,16848.0,inf,inf,inf,10591.0,13138.0,13516.0,inf,inf,inf
IGPS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9261.0,9956.0,9293.0,inf,inf,inf,8070.0,7475.0,7893.0,inf,inf,inf,5137.0,5580.0,5118.0,inf,inf,inf
ILETA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11074.0,10683.0,10955.0,inf,inf,inf,12181.0,8845.0,11030.0,inf,inf,inf,7707.0,6633.0,7128.0,inf,inf,inf
ILETRS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,42756.0,44449.0,42039.0,inf,inf,inf,46698.0,37952.0,44802.0,inf,inf,inf,24933.0,30595.0,33101.0,inf,inf,inf
IMDHT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMDHT_3c2hmp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPC,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10484.0,11220.0,10592.0,inf,inf,inf,11727.0,8959.0,10968.0,inf,inf,inf,7110.0,7533.0,8430.0,inf,inf,inf
IMPD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53754.0,58310.0,51110.0,inf,inf,inf,47165.0,46846.0,47413.0,inf,inf,inf,29540.0,39675.0,34422.0,inf,inf,inf
IPDDI,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4955.0,5751.0,4440.0,inf,inf,inf,6192.0,5522.0,4734.0,inf,inf,inf,2558.0,5393.0,5269.0,inf,inf,inf
IPDPS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IPDPS_syn,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14223.0,15699.0,12840.0,inf,inf,inf,14544.0,13647.0,12831.0,inf,inf,inf,7010.0,11494.0,11778.0,inf,inf,inf
IPMD,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,12436.0,13610.0,13195.0,inf,inf,inf,14156.0,12058.0,13938.0,inf,inf,inf,8334.0,10544.0,10594.0,inf,inf,inf
IPPMIa,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7070.0,7588.0,7036.0,inf,inf,inf,7388.0,5953.0,5825.0,inf,inf,inf,3980.0,4750.0,5822.0,inf,inf,inf
IPPMIb,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,7070.0,7588.0,7036.0,inf,inf,inf,7388.0,5953.0,5825.0,inf,inf,inf,3980.0,4750.0,5822.0,inf,inf,inf
IPPS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9448.0,11050.0,9285.0,inf,inf,inf,10399.0,9513.0,9921.0,inf,inf,inf,5174.0,7671.0,8366.0,inf,inf,inf
KARA1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14799.0,17435.0,13874.0,inf,inf,inf,15112.0,15033.0,13241.0,inf,inf,inf,8390.0,13597.0,11512.0,inf,inf,inf
KARA1i,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KARI,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KARI_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14799.0,17435.0,13874.0,inf,inf,inf,15112.0,15033.0,13241.0,inf,inf,inf,8390.0,13597.0,11512.0,inf,inf,inf
KARI_23dhmp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KARI_23dhmp_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14799.0,17435.0,13874.0,inf,inf,inf,15112.0,15033.0,13241.0,inf,inf,inf,8390.0,13597.0,11512.0,inf,inf,inf
KAS14,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
KAS15,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4691.0,5294.0,3826.0,inf,inf,inf,4813.0,4716.0,4054.0,inf,inf,inf,1790.0,3524.0,3105.0,inf,inf,inf
KDOCT2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1540.0,1648.0,1216.0,inf,inf,inf,1514.0,1224.0,1076.0,inf,inf,inf,698.0,1022.0,1102.0,inf,inf,inf
KDOPP,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5056.0,5336.0,4869.0,inf,inf,inf,5062.0,4289.0,4607.0,inf,inf,inf,2899.0,3264.0,3428.0,inf,inf,inf
KDOPS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11884.0,12694.0,11475.0,inf,inf,inf,11112.0,9274.0,9671.0,inf,inf,inf,6559.0,6914.0,8202.0,inf,inf,inf
Kabcpp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2042.0,2260.0,1979.0,inf,inf,inf,2198.0,2014.0,2342.0,inf,inf,inf,1058.0,1444.0,1390.0,inf,inf,inf
Ktex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ktu,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,852.0,844.0,778.0,inf,inf,inf,950.0,704.0,928.0,inf,inf,inf,536.0,542.0,570.0,inf,inf,inf
LADGMDH,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,4497.0,4287.0,4240.0,inf,inf,inf,4086.0,3466.0,3720.0,inf,inf,inf,2130.0,2604.0,2610.0,inf,inf,inf
LALGP,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
LDAPAT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5051.0,5769.0,4190.0,inf,inf,inf,3634.0,4265.0,3530.0,inf,inf,inf,1996.0,2740.0,2018.0,inf,inf,inf
LDH_D,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1207.0,1452.0,1210.0,inf,inf,inf,1218.0,1524.0,1296.0,inf,inf,inf,624.0,1214.0,859.0,inf,inf,inf
LEUTA,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11074.0,10683.0,10955.0,inf,inf,inf,12181.0,8845.0,11030.0,inf,inf,inf,7707.0,6633.0,7128.0,inf,inf,inf
LEUTRS,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,27384.0,28490.0,25602.0,inf,inf,inf,24927.0,22277.0,24246.0,inf,inf,inf,14157.0,17603.0,18053.0,inf,inf,inf
LEUabcpp,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,642.0,700.0,610.0,inf,inf,inf,668.0,556.0,618.0,inf,inf,inf,406.0,390.0,446.0,inf,inf,inf
LEUtex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPAMPL,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
LIPAMPL_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9812.0,10487.0,9923.0,inf,inf,inf,11768.0,9382.0,11647.0,inf,inf,inf,5623.0,7284.0,6818.0,inf,inf,inf
LIPATPT,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
LIPATPT_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,9812.0,10487.0,9923.0,inf,inf,inf,11768.0,9382.0,11647.0,inf,inf,inf,5623.0,7284.0,6818.0,inf,inf,inf
