Label,Se_Rt_CC_90_1,Se_Rt_CC_90_2,Se_Rt_CC_90_3,Se_Rt_CC_140_1,Se_Rt_CC_140_2,Se_Rt_CC_140_3,Se_Rt_CC_190_1,Se_Rt_CC_190_2,Se_Rt_CC_190_3,Se_ax_90_1,Se_ax_90_2,Se_ax_90_3,Se_ax_140_1,Se_ax_140_2,Se_ax_140_3,Se_ax_190_1,Se_ax_190_2,Se_ax_190_3
SYNPCC7942_RS10925,4429,4445,4571,2906,3224,2074,1988,2732,3070,7941,7292,6340,7662,6249,7145,3608,4455,4014
SYNPCC7942_RS10930,8605,6744,8407,5571,4762,3705,4592,4950,6042,12101,11266,11303,10819,9874,11226,6968,6594,6393
SYNPCC7942_RS10935,6038,4831,5605,4213,3112,2436,3270,3574,3469,8979,8858,8538,9105,7175,8290,5940,5324,6078
SYNPCC7942_RS10940,824,646,878,670,642,394,512,562,780,1244,1233,1074,1146,1048,1180,728,850,702
SYNPCC7942_RS10945,1018,894,1148,950,908,620,574,994,838,1588,1682,1498,1631,1543,1236,1068,1109,1186
SYNPCC7942_RS10950,2351,2023,2400,1828,1469,1048,1086,1374,1328,2613,2725,2250,2380,2314,2310,1397,1656,1708
SYNPCC7942_RS10955,54472,68134,50999,23930,31805,17531,16503,30414,29549,84589,87495,91187,72224,65845,83839,46053,53480,49401
SYNPCC7942_RS10965,37035,39550,43601,22996,24569,18358,15256,24240,26409,46938,50404,43646,33332,32486,29983,29359,23099,18775
SYNPCC7942_RS10970,1390,1358,1574,942,994,780,664,948,1328,2038,2110,1680,1752,1511,1602,1110,1148,1126
SYNPCC7942_RS10975,10494,12415,13739,9222,9680,6207,5778,8723,11596,13731,14420,11704,10430,9779,9555,10179,6355,5902
SYNPCC7942_RS10980,2288,2282,2378,1762,2075,1630,1362,1852,1993,3154,3097,2887,2446,2138,2718,1940,1330,1266
SYNPCC7942_RS10985,294,242,344,218,260,158,148,210,266,502,456,412,504,392,422,212,222,260
SYNPCC7942_RS10990,248,210,263,184,164,98,102,140,200,376,374,280,344,336,296,168,206,216
SYNPCC7942_RS10995,1629,1489,1804,1051,1110,772,740,1122,1178,2692,2659,2173,2163,2030,2011,1318,1306,988
SYNPCC7942_RS11000,1102,838,1156,978,1091,788,700,1028,852,1700,1924,1316,2034,1942,1561,610,1813,1586
SYNPCC7942_RS11005,678,530,626,484,382,340,358,470,476,726,800,796,813,692,592,376,512,426
SYNPCC7942_RS11010,476,354,502,484,438,354,368,340,364,546,620,408,752,554,684,260,488,544
SYNPCC7942_RS11015,498,352,380,354,357,252,252,370,360,606,626,580,706,720,736,302,462,458
SYNPCC7942_RS11020,9658,8089,9348,8034,8177,6330,6398,7837,8824,12838,13394,11946,13470,12422,12691,6438,10541,10849
SYNPCC7942_RS11025,22290,18318,20147,12801,13515,9012,9733,14796,15625,34278,33514,33449,32736,28234,32457,18535,22762,24894
SYNPCC7942_RS11030,1364,916,1032,880,778,662,630,784,892,1492,1478,1398,1374,1211,1178,556,826,764
SYNPCC7942_RS11035,154345,113031,162911,111501,104201,85379,96530,127920,159272,240481,217680,204295,253931,214653,209837,133811,169031,151436
SYNPCC7942_RS11040,61353,41956,54706,34251,38499,25716,25337,35983,41929,98908,88711,79993,102729,86039,86670,43079,72797,58829
SYNPCC7942_RS11045,90139,59500,77628,50508,53713,35330,37503,54966,53646,134745,129764,112381,153704,123284,112011,59020,97120,93682
SYNPCC7942_RS11050,165944,104948,134122,86695,93708,64431,66728,103525,86667,253139,241465,213177,280150,212285,202757,110594,178792,185511
SYNPCC7942_RS11055,246196,258245,264315,106376,139210,92392,71069,133874,128857,341997,326565,308153,255243,229356,218163,180549,158316,130073
SYNPCC7942_RS11060,1246,1190,1348,1212,986,774,838,1154,1192,1854,1981,1644,1860,1788,1888,1018,1335,1256
SYNPCC7942_RS11065,3410,3193,3988,2154,2434,1555,1592,2316,2524,5504,5850,4556,6015,5086,5291,3323,4178,3828
SYNPCC7942_RS11070,6051,5463,6095,3266,4066,3190,2704,4544,3659,8633,8341,7731,9104,7235,7089,4520,6059,6393
SYNPCC7942_RS11075,10037,8922,10193,6794,6878,4518,4796,6916,8763,16882,16973,13166,18156,14257,14568,8425,12574,10777
SYNPCC7942_RS11080,55274,47588,57652,36329,41288,29877,28775,42404,55536,86304,83948,74727,91241,75312,80883,51231,62524,47717
SYNPCC7942_RS11085,10814,9594,9950,9069,8933,6534,6377,8506,8634,13694,15579,13640,14595,12744,12559,7033,10305,10201
SYNPCC7942_RS11090,298,182,244,258,224,160,138,160,188,294,397,266,370,268,286,150,247,282
SYNPCC7942_RS11095,3058,2774,2777,1987,2013,1292,1228,1816,1798,4234,4535,3724,3892,3780,3776,1876,2797,2840
SYNPCC7942_RS11100,2978,2905,2918,2309,2312,1961,1964,2500,2786,5081,4771,5144,5870,4202,5484,3448,3409,3706
SYNPCC7942_RS11105,6320,5277,4238,5046,4641,4551,4800,5172,4143,6880,7109,8190,10154,7578,10543,4233,5764,7239
SYNPCC7942_RS11110,1422,1142,1372,1034,895,680,724,1030,834,1830,2122,1792,1812,1548,1832,1046,1312,1416
SYNPCC7942_RS11115,3439,3430,3130,3282,3174,2348,2554,3390,2749,4044,4132,4286,3787,3280,3940,2834,2416,2727
SYNPCC7942_RS11120,6292,5376,6305,5876,5504,5286,5418,6981,7747,8368,8945,7859,10761,7859,9011,6546,8136,9556
SYNPCC7942_RS14085,897,706,1076,706,630,342,434,568,698,1060,1177,948,913,864,780,530,614,598
SYNPCC7942_RS11125,7980,5880,8138,6008,4947,3320,3564,5443,4418,11800,12325,9879,12328,10513,9107,5946,7846,8428
SYNPCC7942_RS11130,810,608,768,582,604,418,456,578,568,1104,1182,1034,1215,925,1058,529,760,624
SYNPCC7942_RS11135,11521,9546,9966,7867,8011,5715,5606,8464,7026,15774,14903,15554,16100,11839,13370,7085,8651,10177
SYNPCC7942_RS11140,4395,3693,3944,3472,3549,2354,2620,3215,3516,5947,6009,5818,7018,5406,6755,3192,3790,3904
SYNPCC7942_RS11145,301,258,308,210,196,110,142,184,178,356,394,332,366,304,296,150,244,250
SYNPCC7942_RS11150,2294,1841,2208,1476,1492,876,934,1180,1268,2906,3346,2607,2716,2476,2432,1150,1882,1912
SYNPCC7942_RS11155,2063,1868,1974,1294,1374,966,970,1344,1188,2920,2974,2796,2854,2538,2858,1536,1832,2134
SYNPCC7942_RS11160,2433,2444,2602,1802,1886,1144,1314,1786,1778,3704,3669,3193,3181,2983,3250,1729,2188,2046
SYNPCC7942_RS11165,1344,1260,1412,882,832,600,674,940,938,1874,1792,1686,1742,1530,1796,1032,1034,1094
SYNPCC7942_RS11170,9609,8241,9226,7464,7074,6046,5736,7054,7309,12598,12915,12631,11887,10548,11628,5918,7336,7855
SYNPCC7942_RS11175,7176,5404,6429,5382,4863,4226,4701,5733,6664,8744,8516,10060,10543,7428,9337,6498,5316,5956
SYNPCC7942_RS11180,456,528,536,438,284,235,124,198,152,340,422,294,386,286,304,144,148,238
SYNPCC7942_RS11185,5888,5247,5316,4250,4102,2834,3246,4692,3574,8482,8714,8663,10194,7231,8958,4250,5236,6364
SYNPCC7942_RS11190,5409,4144,5310,5708,4506,3763,3997,4377,4825,8569,8645,7352,7942,7024,7308,3540,5262,5469
SYNPCC7942_RS11195,4515,3895,4798,4073,4065,2464,2995,3562,3680,5374,5908,4816,5144,4918,4803,3005,3416,3548
SYNPCC7942_RS11200,29692,31616,28596,21968,28687,19551,19596,26875,26679,35415,35624,35659,35942,30851,44493,24175,24186,22633
SYNPCC7942_RS11205,12512,13075,13152,10346,11992,8252,7316,11002,9279,18652,19421,18021,17009,15211,16251,10841,11930,11918
SYNPCC7942_RS11210,27422,28906,32356,22511,28473,18156,18981,26400,26796,37303,37601,36347,36145,31228,37442,24981,26460,24594
SYNPCC7942_RS11215,68723,71638,75579,55622,70510,45271,46723,67457,76175,98611,95725,98751,98954,83991,121142,72344,71483,64935
SYNPCC7942_RS11220,17525,19961,19648,15104,18219,12815,12024,18149,16125,23454,24011,23162,21581,19110,21528,15160,15908,16327
SYNPCC7942_RS11225,56597,56313,62646,50596,61815,41455,42068,55577,59794,76938,78664,73188,72060,63878,81739,52112,55519,49563
SYNPCC7942_RS11230,17458,18415,19286,17287,20668,14468,14047,18672,19292,23596,25666,22261,22463,20149,24521,16263,16942,15797
SYNPCC7942_RS11235,16630,16013,18487,15841,18340,12386,12855,15813,19066,22100,23410,21033,21581,20145,21378,14186,17294,15468
SYNPCC7942_RS13815,20069,18606,20430,19149,20517,15059,15773,20072,23429,24938,25947,22515,24571,21964,27888,14983,19725,17650
SYNPCC7942_RS11240,7469,7236,8093,6796,7084,5229,5714,7265,7196,10512,10801,9961,10846,9155,9978,6343,8322,8546
SYNPCC7942_RS11245,35681,31992,38148,30152,34137,25433,26264,33027,33721,46121,47765,43876,45794,42490,46350,31143,37266,33330
SYNPCC7942_RS11250,15222,13167,16229,12170,14046,10236,10704,13993,11789,19540,18760,17669,20941,16510,19964,13155,13535,13550
SYNPCC7942_RS11255,15175,13976,17893,13362,14724,10351,10593,14240,10662,18976,19393,16357,17511,14083,14841,11332,12217,13214
SYNPCC7942_RS11260,12973,13224,15521,11892,13279,9112,9635,12456,8865,16542,16941,15867,15199,12406,13375,9441,11069,11479
SYNPCC7942_RS11265,23824,22748,28146,20805,23775,15842,17685,22857,19776,32761,30345,29318,32968,24423,29207,20752,20294,20502
SYNPCC7942_RS11270,9032,8077,10970,8221,9005,6488,6049,8713,5535,18054,17496,15842,18293,13880,16282,11487,11227,11215
SYNPCC7942_RS11275,20280,19823,24028,18012,20427,14627,16134,20413,17383,30003,28280,27267,29574,22280,26639,19294,17957,18066
SYNPCC7942_RS11280,24113,24311,28057,20694,25415,18422,20028,24975,24357,39684,36332,36710,40138,30053,43548,25585,24433,22131
SYNPCC7942_RS11285,12915,13589,14900,11454,13560,9664,10078,13115,12657,20086,18137,18511,18837,14659,18263,11965,11088,11505
SYNPCC7942_RS11290,7504,6488,8699,6924,7976,5664,5724,7413,6290,9806,9617,8230,8861,6709,7330,5490,5162,5927
SYNPCC7942_RS11295,5577,5832,6153,4985,5774,4509,4439,5583,4770,7930,7871,7200,7286,5636,6466,4701,4289,4711
SYNPCC7942_RS11300,20699,19857,23907,18861,22213,16021,16824,22053,18162,28676,27990,26671,27705,21470,26036,17375,17456,16666
SYNPCC7942_RS11305,14250,15070,15781,13660,15275,10999,11314,14336,12235,19492,20402,18450,19405,15658,18476,11488,12192,12424
SYNPCC7942_RS11310,13854,14460,16091,13063,15122,10929,11934,14990,13572,18344,17772,16790,17944,13594,17061,11527,11134,11054
SYNPCC7942_RS11315,5928,6262,5916,4827,6054,4194,4554,6076,5161,7176,7094,6835,6917,5380,6524,4774,4599,4428
SYNPCC7942_RS11320,19071,19650,23633,17951,20902,14804,14726,20532,15734,27122,26978,23619,22925,19066,19244,15199,14940,16674
SYNPCC7942_RS11325,8559,8879,10212,8135,9294,6991,7313,9518,8297,12250,11671,11071,10878,9107,11001,7376,7113,6887
SYNPCC7942_RS11330,11909,11033,13392,11149,12717,9084,9612,11785,9293,22912,22271,20932,19441,16597,19859,12654,13089,12468
SYNPCC7942_RS11335,15665,14703,18567,16516,17001,10241,13266,14867,15393,22550,21349,20886,18216,17872,22187,11257,14601,12810
SYNPCC7942_RS11345,3866,3467,4536,2425,2796,1672,1652,2452,2380,4356,5013,4107,3822,3356,3109,2630,2414,2540
SYNPCC7942_RS11350,536,432,664,364,382,268,240,370,324,866,954,622,790,646,562,370,514,480
SYNPCC7942_RS11355,3007,2438,2934,2372,2235,1498,1602,2182,2342,4102,4496,3750,3936,3932,3808,1954,2952,2600
SYNPCC7942_RS11360,697,570,652,506,460,306,386,464,482,929,884,896,856,734,956,518,510,544
SYNPCC7942_RS11365,4305,3439,3652,3498,3398,2435,2739,3168,3258,5381,5651,6002,5228,4518,4954,2766,2720,3042
SYNPCC7942_RS11370,2154,1904,2470,1650,1812,1208,1474,1910,2012,3131,2950,2752,3296,2708,3252,2170,2254,2432
SYNPCC7942_RS11375,6837,5891,7312,5547,5655,4179,5420,6554,8078,9092,9241,8264,11468,8544,10431,6744,8472,8916
SYNPCC7942_RS13820,4373,3664,3864,4004,3864,2840,3888,4489,4545,5886,5820,5614,7368,5160,6497,3940,4905,5800
SYNPCC7942_RS11385,5670,4334,5627,5132,4216,3270,3420,4089,4374,7531,8540,6500,8170,7530,6743,3793,5828,5495
SYNPCC7942_RS11390,268,300,264,288,294,184,184,264,286,397,349,292,372,248,330,178,188,232
SYNPCC7942_RS11395,17993,16052,18528,13384,14296,10623,10491,14445,15376,26162,27557,24469,22700,20216,21790,15521,15221,14089
SYNPCC7942_RS11400,18611,19118,21606,14300,14611,12474,10792,16045,14976,22709,25485,23270,18492,18164,15662,14908,13409,12855
SYNPCC7942_RS11405,2510,2308,2609,1949,2172,1582,1438,1887,1962,3542,3761,3067,3620,3092,3238,1666,2362,2232
SYNPCC7942_RS11410,4070,3392,3880,3220,3266,2450,2152,3196,3292,5408,5824,4885,5289,4797,4725,2624,3750,3425
SYNPCC7942_RS11415,106474,67002,80292,67907,54850,37841,32081,50531,44342,207159,226045,282285,238986,180865,233207,117298,106476,83281
SYNPCC7942_RS11420,3568,2616,4383,1554,1500,973,824,1259,1038,21252,20917,17340,14114,12019,10561,7240,7065,5539
SYNPCC7942_RS11425,20702,22227,21646,9623,12236,7624,7239,11507,11432,26511,26966,27299,19781,19228,21938,16439,12778,10019
SYNPCC7942_RS11430,906,894,932,628,596,356,420,522,574,1252,1260,1080,1072,1016,1020,654,802,656
SYNPCC7942_RS11435,1100,748,1038,780,786,426,510,704,656,1601,1720,1168,1382,1342,1274,559,994,904
SYNPCC7942_RS11440,1594,1246,1575,1048,1062,702,744,1028,960,1908,1926,1476,1981,1528,1502,834,1224,1434
SYNPCC7942_RS14195,2123,1478,2026,1184,1066,682,896,1196,1169,2844,2936,2197,3004,2193,2124,1320,1722,1802
SYNPCC7942_RS11450,49662,43342,45300,28982,32568,23460,22304,31516,33003,79808,76430,70966,86227,66024,75053,36588,48212,46779
SYNPCC7942_RS11455,19524,14309,17156,13994,12496,7876,8360,11603,13756,20044,21082,19249,18791,16204,19541,11728,11297,11031
SYNPCC7942_RS11460,106958,77883,77267,76161,74327,51377,54550,66351,81658,98389,95719,121765,95731,76342,114062,63333,38351,37146
SYNPCC7942_RS11465,63754,57636,66721,35133,34509,20341,24178,31477,36119,80421,77816,77726,57563,50937,56278,41616,34532,34640
SYNPCC7942_RS11470,1493,910,1272,954,668,402,596,744,860,1797,2200,1625,2511,2084,2456,960,1825,1972
SYNPCC7942_RS13830,6623,5354,5369,4026,3575,2377,2802,4118,4132,7260,7540,6690,7770,6109,7532,3862,4918,5388
SYNPCC7942_RS11475,8752,6274,8678,7530,6668,4522,4922,5826,8222,12127,14008,10668,13477,12729,11748,5990,10882,8448
SYNPCC7942_RS11480,2890,2718,3011,2232,2234,1902,1748,2164,1830,3968,4025,3454,3606,3061,2821,1714,2725,2823
SYNPCC7942_RS11485,1398,1179,1444,1026,1096,745,785,980,1054,1576,1738,1262,1598,1344,1244,750,1186,1312
SYNPCC7942_RS14095,298,324,314,278,228,234,174,220,174,1223,1462,1217,1446,1168,1410,688,982,937
SYNPCC7942_RS11490,1910,1698,2042,1415,1234,770,1100,1518,1740,2810,2671,2197,3110,2382,2642,1430,1968,1774
SYNPCC7942_RS11495,10763,10017,10584,6893,7765,5116,5430,7663,7793,15585,15837,14298,15178,12633,15208,7909,9897,9075
SYNPCC7942_RS11500,4880,4338,5028,4134,4206,2547,2826,3365,3948,6846,7658,5926,6662,6268,5665,2988,5267,4636
SYNPCC7942_RS11505,13767,10126,11901,13293,12781,10076,11033,12616,11598,30452,33721,28431,34062,31236,30410,11975,25974,25150
SYNPCC7942_RS11510,11321,9131,11174,9293,8408,6936,7719,10443,11098,13047,14583,13329,17349,12517,13792,8609,11127,14277
SYNPCC7942_RS11515,1382,1114,1374,1012,992,672,704,946,938,1906,2028,1641,1848,1746,1664,786,1336,1416
SYNPCC7942_RS11520,35323,27736,33149,26089,21678,11380,15951,18741,26820,35780,38066,35405,35010,30532,46077,21187,19246,19630
SYNPCC7942_RS11525,2736,2298,2841,1984,1559,872,1046,1284,1603,4062,4591,3435,3966,3678,3582,1526,2298,2133
SYNPCC7942_RS11530,3086,2300,3328,2130,2025,1198,1410,2174,1964,4827,4802,3666,4780,4172,3612,2059,3614,3420
SYNPCC7942_RS11535,2252,1990,2202,1748,1520,1090,1116,1592,1618,3277,3296,2780,3698,2966,3202,1570,2447,2753
SYNPCC7942_RS11540,3830,3406,4145,2756,2659,1921,2287,3004,3420,4743,4573,4189,4685,3879,4415,2670,3204,3469
SYNPCC7942_RS11545,660,662,792,422,486,290,312,508,564,958,868,910,1038,830,938,456,610,676
SYNPCC7942_RS11550,2094,2128,2099,1692,2024,1460,1510,1848,2222,3130,3128,2942,3370,2974,3550,1964,2320,2508
SYNPCC7942_RS11555,12442,10972,11828,9888,10254,7496,7157,9578,8718,17864,19074,16916,17801,15553,16549,9511,13195,13911
SYNPCC7942_RS11565,358,324,382,314,242,178,198,264,314,478,576,436,402,292,332,216,244,276
SYNPCC7942_RS11570,781,642,760,754,560,374,534,634,466,1012,988,974,860,820,892,382,668,718
SYNPCC7942_RS11575,596,550,684,366,418,210,318,366,478,542,641,580,416,346,428,262,266,252
SYNPCC7942_RS11580,8890,6812,7139,7130,7032,5652,6855,8059,8683,10987,10462,10965,11227,9109,11022,6046,6808,6162
SYNPCC7942_RS11585,15551,14279,13615,6905,8142,4067,2913,6084,4896,21676,25251,23866,16411,15159,15978,8035,8990,8594
SYNPCC7942_RS11590,7278,6508,7819,6267,5834,4008,5308,6006,9536,9823,11141,9313,10578,10589,11226,7003,9011,7415
SYNPCC7942_RS11595,4020,3062,4580,3544,3314,1828,2166,2526,3442,5725,6830,4968,5016,5844,4752,2596,4550,3262
SYNPCC7942_RS11600,9253,8717,9348,7821,8666,5924,6319,7504,8392,13236,13502,13096,13823,12492,13713,7094,9509,9960
SYNPCC7942_RS11605,736,668,888,570,660,404,448,570,594,1064,1076,734,872,750,692,528,626,722
SYNPCC7942_RS11610,3248,2440,3013,2468,2488,1618,1933,2388,2815,3731,4258,3318,4524,4172,4436,2168,4028,4622
SYNPCC7942_RS11615,7868,6370,7388,6878,6347,4906,5788,7228,7068,8188,9896,8320,11629,8775,8952,5460,8852,11449
SYNPCC7942_RS11620,746,600,844,745,718,410,526,560,714,1102,1180,872,1224,1028,958,462,772,699
SYNPCC7942_RS11625,4092,4164,3994,3039,3236,2428,2180,3061,2831,5970,6185,5590,5645,4668,5015,3004,3458,3894
SYNPCC7942_RS11630,3796,3518,3756,2906,2824,1862,2062,2582,3182,5056,5336,4869,5062,4289,4607,2899,3264,3428
SYNPCC7942_RS11635,8685,8020,8846,6454,6807,4955,4690,6674,6270,11884,12694,11475,11112,9274,9671,6559,6914,8202
SYNPCC7942_RS11640,1226,910,1324,844,810,510,580,738,782,1540,1648,1216,1514,1224,1076,698,1022,1102
SYNPCC7942_RS11645,3098,2720,2952,2568,2502,1948,2072,2558,2653,4596,4817,4005,4962,4271,4573,2573,3487,3798
SYNPCC7942_RS11650,17800,13290,14973,14365,12365,9232,12784,14418,18018,23916,27031,23441,29653,26818,28722,13785,23769,19799
SYNPCC7942_RS11655,1312,926,1053,1018,844,680,944,982,1154,2083,2414,2097,2846,2384,2856,1202,1919,1647
SYNPCC7942_RS11660,1504,1472,1366,1024,1184,760,768,992,968,1908,1900,1924,1930,1550,1824,1048,1172,1210
SYNPCC7942_RS11665,704,732,838,504,468,302,362,486,486,1060,1094,1016,928,818,948,534,636,666
SYNPCC7942_RS11670,2693,2373,2732,2308,2102,1488,1854,1962,2488,3935,4186,3953,4374,3662,3964,2076,2803,2874
SYNPCC7942_RS11675,88427,67435,72243,61643,53782,44103,45678,55399,58910,102021,108421,116359,120107,97158,109674,56167,77717,76248
SYNPCC7942_RS11680,480,508,526,468,384,260,268,350,486,597,752,612,580,612,594,320,436,464
SYNPCC7942_RS11685,39512,33454,43519,32130,31521,19488,21653,31394,38086,39782,45188,37350,38153,35744,33795,22187,30384,28070
SYNPCC7942_RS11690,11526,9149,11874,9198,8898,5261,5252,8288,8511,17043,18808,16093,15938,16111,14661,8900,13925,11114
SYNPCC7942_RS11695,25493,21018,17410,17153,17116,14044,14778,18339,19300,23850,23703,28585,28338,19745,34655,17490,13886,18103
SYNPCC7942_RS11700,6887,5425,5497,5144,4761,3104,3600,4242,4364,7099,7584,8096,7229,5702,8178,4454,4428,5696
SYNPCC7942_RS11705,1146,1002,1133,944,764,450,600,712,742,1382,1758,1524,1347,1419,1471,714,956,1130
SYNPCC7942_RS11710,3939,3486,3851,3118,2908,2254,2494,2968,3188,5393,5606,4425,5536,4546,5113,2462,3784,3570
SYNPCC7942_RS11715,2212,2255,2149,1290,1554,1246,1162,1674,1336,3513,3293,3375,3006,2398,2612,1622,1656,1594
SYNPCC7942_RS11720,13241,11367,12169,7968,6202,6155,7607,8113,8636,18068,15045,18352,16844,11817,12934,11530,5897,5615
SYNPCC7942_RS11725,18932,15610,15635,11679,10043,8120,9044,9066,10655,24789,20508,24503,20760,16577,19085,13771,8172,7479
SYNPCC7942_RS11730,10042,7873,9150,7367,6579,5277,6084,6653,7567,12737,12131,11460,14230,10107,11979,7045,7244,7353
SYNPCC7942_RS11735,22030,12787,22032,15054,13059,14459,14051,12831,17204,28065,29731,24792,33456,30477,18838,17089,25165,14429
SYNPCC7942_RS11740,3362,3486,3846,3141,3040,2058,1990,2605,3114,5054,5689,4428,4808,4849,4884,2440,3803,3648
SYNPCC7942_RS11745,34,26,40,50,30,26,28,16,16,50,70,46,56,36,42,24,40,36
SYNPCC7942_RS11750,6317,4764,7457,5758,4248,2724,4162,4973,6886,7232,8552,6778,9026,7719,7972,5255,6690,7181
SYNPCC7942_RS11755,1044,944,1110,841,698,554,616,748,882,1346,1404,1142,1376,1332,1324,704,981,890
SYNPCC7942_RS11760,408481,312281,331292,341299,360595,283434,384790,483805,585362,539269,474258,501630,457578,392705,361950,420230,358444,265364
SYNPCC7942_RS11765,136767,116079,109155,99831,103544,101603,143413,189309,203315,172338,129919,186933,166655,114337,139091,173795,97169,79728
SYNPCC7942_RS11770,46250,53224,71360,30277,39475,28360,21501,38179,37385,74888,76747,58378,47493,46060,38239,42652,33079,25247
SYNPCC7942_RS11775,6991,7607,10355,4824,5695,3972,3652,5693,5363,9881,10971,7755,6625,6335,4933,5419,4566,4092
SYNPCC7942_RS11780,18693,16274,15680,12938,13093,10024,10623,13889,14153,23982,24720,23848,24309,19730,24095,12395,15804,18753
SYNPCC7942_RS11785,1060,1064,1144,682,724,612,590,692,1014,1660,1558,1691,1588,1326,1466,1000,956,1062
SYNPCC7942_RS11790,614,524,562,536,452,348,408,402,534,910,1020,772,938,785,1084,484,616,558
SYNPCC7942_RS11795,366,388,426,354,318,208,218,342,358,692,718,662,716,650,748,352,402,394
SYNPCC7942_RS11800,11612,10140,13935,10820,9402,7795,7491,11054,11537,15070,15519,15287,14990,11980,14041,11252,8957,10158
SYNPCC7942_RS11805,3469,2850,3546,2858,2686,1502,1752,2475,2784,4817,5212,4466,4560,4335,4082,2952,3631,3459
SYNPCC7942_RS11810,1332,1042,1394,1082,968,778,812,1051,874,1622,1806,1344,1634,1347,1294,804,1129,1450
SYNPCC7942_RS11815,5726,4759,5492,4097,3554,2130,2724,3600,4017,7494,8294,6406,8070,6654,6067,3762,5785,6654
SYNPCC7942_RS11820,6880,5068,6057,3444,3816,2612,2470,4031,3110,10308,9795,8224,11425,8773,8770,3857,7343,8373
SYNPCC7942_RS11825,17856,17313,13828,11649,13227,9221,10534,15103,9125,28469,27561,31599,36735,23689,33567,15972,17244,27665
SYNPCC7942_RS11830,2417,2313,2054,1768,1850,1052,1352,1528,1496,4271,4009,4174,5172,3988,5012,2041,2998,3938
SYNPCC7942_RS11835,1530,1358,1487,1432,1251,790,958,1294,1280,2180,2184,1964,2496,1950,2146,1020,1610,1582
SYNPCC7942_RS11840,1856,1810,2252,1594,1782,1258,1212,1836,1974,2906,3120,2486,3133,2392,2427,1908,1882,1922
SYNPCC7942_RS11845,5704,5218,5942,5778,6083,3934,4742,5118,6255,7639,8106,6776,7462,6860,6982,4608,5578,5198
SYNPCC7942_RS11850,100144,118197,108961,105391,127277,109197,110343,135185,158773,143338,130093,119110,132009,107690,122904,124659,81688,69586
SYNPCC7942_RS11855,32484,46568,40028,49140,53287,50458,54638,52918,71364,39281,39830,34614,34762,29548,28299,35376,22434,20514
SYNPCC7942_RS11860,47431,42121,38545,33811,34712,22973,26352,33664,34826,64748,66303,67510,67856,55216,67308,35082,35999,38118
SYNPCC7942_RS11865,54051,46627,45041,40261,40688,26404,30541,36919,43520,66788,71392,75588,72835,62341,74570,38440,39267,39656
SYNPCC7942_RS11870,48515,43257,41193,35417,35404,23515,26838,35965,36525,60687,62262,67775,69081,54533,67609,35128,35301,38289
SYNPCC7942_RS14100,89522,71102,59441,79517,70293,67718,83204,79393,81392,81662,84834,99765,113831,85659,123167,57246,60986,74519
SYNPCC7942_RS11875,3596,3067,3860,2180,2286,1348,1416,2096,2247,5808,5937,4868,5821,4994,5212,2471,3638,3018
SYNPCC7942_RS11880,22785,17545,23227,19991,19458,13606,20277,22558,30570,34151,33461,28473,42823,33021,33512,18160,31416,30013
SYNPCC7942_RS11885,4659,3844,5238,3897,3627,2038,3079,3804,4807,6931,7499,5343,8370,6540,5865,3414,6155,6152
SYNPCC7942_RS11890,12374,9048,12006,10849,9690,5530,8196,9868,12434,14973,16981,14454,16668,14546,15016,8895,12047,12013
SYNPCC7942_RS11895,2316,1728,2390,1596,1460,860,1066,1545,1934,2744,3310,2182,2546,2470,2384,1468,1872,1790
SYNPCC7942_RS11900,43627,43403,54196,29563,30238,23826,25934,38497,42339,48583,52450,49786,28601,31197,28175,44942,22077,18945
SYNPCC7942_RS11905,8706,7485,11265,5907,5924,5199,4749,7811,8073,7657,8164,6993,4269,4370,4194,6638,3392,3007
SYNPCC7942_RS11910,11220,10058,10829,8753,7917,6843,7089,9853,10291,13722,13658,14355,13221,9921,12100,9562,7532,8500
SYNPCC7942_RS11915,9946,7716,10321,10915,8712,5706,8154,9406,8028,11999,12539,10880,11055,10703,9339,5880,10100,11037
SYNPCC7942_RS11920,7562,7012,7439,6448,6553,4772,5120,6761,7452,9748,9578,9682,9566,7590,8733,5862,5922,6150
SYNPCC7942_RS11925,13748,11560,13650,11185,11505,8383,9641,11511,14035,19918,20716,18159,23084,19223,21759,13305,17030,16452
SYNPCC7942_RS11930,3760,3115,3650,2779,2796,1762,2014,2670,3053,4520,4726,4126,4027,3881,4295,2296,2608,2696
SYNPCC7942_RS11935,39420,33813,35333,26959,26286,18000,18680,26355,26287,45016,47147,52932,48299,38809,49080,27857,26127,37399
SYNPCC7942_RS11940,7858,7208,7454,6393,6246,5012,5193,6242,6505,9575,9921,10111,10037,7664,9243,5917,5726,7715
SYNPCC7942_RS11945,4274,3872,4135,3478,3274,2754,3046,3698,3740,5379,5638,4888,5742,4416,4708,3416,3450,3710
SYNPCC7942_RS11950,109493,106245,107849,74671,85765,117300,107281,142855,157078,122600,103819,149957,123081,65159,108066,150001,45058,69910
SYNPCC7942_RS11955,5626,4462,4944,4136,3734,4122,4458,5832,4770,5465,5963,6475,7648,4802,6386,5374,3796,5549
SYNPCC7942_RS11960,12324,10122,13553,8930,9743,7083,6948,10021,12045,13169,14550,11439,12701,11315,10982,8210,8389,7785
SYNPCC7942_RS11965,2589,2282,2336,2082,1684,2283,2592,3614,2108,4424,4146,5017,6294,3368,3584,4212,3005,4011
