Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
37)H3PO4,4367423,3390725,2489904,6936053.0,2157990.0,2506273.0,3857977,466204.0,747907.0,1144999.0,636036,474232.0,671928,461367,26470.0,52399.0,49094.0,13631.0,223834.0,195714.0,598601.0,84955,38782.0,11303.0,962.0,108750,239136.0,4894247.0,1908293,2000375,2870065.0,1664343,1825885,2770155.0,1811462,1337159,1493913.0,1061130,1299925.0,881965,1605189,1396988,786971.0,1649458,1292554,922302,949133.0,1075161.0,1187428.0,1412582,1587384,1394238,803145.0,1813177
38)PYR,16154,13938,12043,20605.0,14889.0,18270.0,18583,14083.0,14323.0,101839.0,113519,101467.0,101143,147835,111325.0,43388.0,55270.0,49994.0,83989.0,104198.0,83519.0,16392,17007.0,19215.0,12986.0,17647,20617.0,12637.0,18173,17780,17162.0,15251,19129,23489.0,24171,22442,116915.0,114884,113985.0,110297,137518,119564,54816.0,56907,50377,122497,118073.0,101177.0,22394.0,30015,30046,24409,20733.0,35050
39)QIC,138473,65855,21559,219727.0,64246.0,32262.0,130654,46576.0,26704.0,102537.0,43459,26164.0,113256,36826,19567.0,55194.0,26824.0,12630.0,45845.0,20990.0,16807.0,52431,22092.0,12151.0,41374.0,23176,17692.0,14565.0,9512,9620,12357.0,8299,9074,16755.0,13720,12827,14478.0,11240,10202.0,13883,9853,11467,10728.0,15027,7545,12570,10722.0,6925.0,15688.0,15001,9957,10731,9521.0,13670
40)FA18:1,117398,116189,57992,131717.0,70605.0,91417.0,117883,63109.0,54664.0,108412.0,83957,69085.0,89787,77099,49792.0,54468.0,40733.0,26303.0,51556.0,50137.0,84500.0,85319,38302.0,44437.0,48603.0,52412,122275.0,60975.0,58477,58376,73390.0,55289,90045,115659.0,127934,72732,60945.0,65866,72092.0,53572,62386,92213,46250.0,96564,48076,99779,62153.0,48652.0,46297.0,141805,109120,64214,58127.0,114701
41)SUC,10002,5085,4470,12767.0,7326.0,5129.0,8828,3330.0,3706.0,9140.0,3247,2427.0,9230,3870,6550.0,7101.0,4613.5,4703.0,4972.0,5357.0,2856.0,4648,2088.0,2413.0,2905.0,3189,1970.0,1162.0,1567,1972,5232.0,1997,2066,5719.0,3249,1205,3410.0,2019,1612.0,2371,3218,2869,1344.0,2895,4125,1430,3003.0,2058.0,2686.0,3717,2105,4346,2303.5,2502
42)SUCR,4322254,3885728,1923730,122173947.0,120346733.0,126577136.0,167687351,163796043.0,193541778.0,155744883.0,153333682,181407689.0,28328150,29136422,72171013.0,6990792.0,11235110.0,7726453.0,6519130.0,8524530.0,18338463.0,4225900,6171386.0,11546878.0,2437397.0,9503195,7409108.0,2371906.0,2803151,5289566,108953597.0,79641028,114926451,202621460.0,196384448,180772384,216402623.0,186768919,200938562.0,202490722,217806224,219136280,209296716.0,248798568,207329930,207734404,220460447.0,186965633.0,226721805.0,246981451,222409804,231482702,210726201.0,254294421
43)THY,102455,63103,48497,114993.0,24263.0,120751.0,89493,18699.0,63817.0,85377.0,52552,94346.0,74084,24174,48156.0,26518.0,42255.0,43301.0,65212.0,58547.0,42043.0,68096,38039.0,33908.0,19074.0,11630,10716.0,50176.0,102211,88992,40489.0,76979,94959,65350.0,127660,136352,67137.0,36118,147178.0,35250,61173,78299,63431.0,84313,72220,57156,131386.0,107303.0,59968.5,106957,60362,62781,60129.0,40103
44)unk-01,190611,208504,235057,306107.0,247740.0,235562.0,214281,201959.0,258894.0,415729.0,480904,490183.0,387768,451440,377514.0,42650.0,32485.0,12831.0,31147.0,7044.0,4262.5,22425,4684.0,11694.0,21344.0,26658,6880.166667,177607.0,189532,240171,201783.0,156388,269777,379584.0,430316,364096,513609.0,383317,477758.0,327356,424975,441738,52443.0,142995,124363,346253,488665.0,343579.0,151794.0,395010,275160,150504,213326.0,309940
45)unk-02,757753,669374,511060,721482.0,988332.0,814723.0,1101036,744002.0,762698.0,1128877.0,742717,1071348.0,641648,764283,839208.0,1134950.0,832075.0,912084.0,804065.0,818726.0,570876.0,726097,445177.0,595590.0,769185.0,647660,569933.0,508197.0,824354,630868,790423.0,588775,958181,604982.0,653937,593123,690304.0,788143,677938.0,574901,605781,616055,620908.0,715540,613275,639337,991544.0,600969.0,697486.0,771068,736642,760849,723600.0,627420
46)unk-03,1253207,1904587,1386435,1807425.0,2106194.0,2383969.0,1626163,1629289.0,2143680.0,1620890.0,1702475,1851832.0,1430741,1828715,1314270.0,1233522.0,1485491.0,1068721.0,1266014.0,1214393.0,1352669.0,1082340,1013217.0,757903.0,892281.0,973900,1013871.0,1188464.0,1533042,1949912,1600897.0,1631831,2211037,1899643.0,2055475,2280591,2071266.0,1904163,2262149.0,1343787,1873301,2203786,1668977.0,2303290,2049406,1570188,2055245.0,1700105.0,1265755.0,1987863,2026549,1599487,1807316.0,2139170
